,grid_num,lon,lat,total
135,3448,103.87793013,30.47320125,10
136,3449,103.89123895,30.47320125,3
137,3450,103.90454777,30.47320125,1
138,3452,103.93116541,30.47320125,2
139,3454,103.95778304999999,30.47320125,4
140,3455,103.97109187,30.47320125,1
141,3456,103.98440069,30.47320125,4
142,3457,103.99770950999999,30.47320125,9
143,3458,104.01101832999998,30.47320125,2
144,3459,104.02432715,30.47320125,6
145,3460,104.03763597,30.47320125,4
146,3462,104.06425361,30.47320125,20
147,3463,104.07756243,30.47320125,12
148,3464,104.09087124999999,30.47320125,34
149,3465,104.10418007,30.47320125,11
150,3466,104.11748889,30.47320125,1
151,3467,104.13079771,30.47320125,15
152,3468,104.14410652999999,30.47320125,55
153,3469,104.15741535,30.47320125,18
154,3470,104.17072417,30.47320125,4
155,3543,103.81138603,30.482363749999998,1
156,3548,103.87793013,30.482363749999998,66
157,3549,103.89123895,30.482363749999998,47
158,3550,103.90454777,30.482363749999998,1
159,3553,103.94447423,30.482363749999998,6
160,3554,103.95778304999999,30.482363749999998,6
161,3555,103.97109187,30.482363749999998,36
162,3556,103.98440069,30.482363749999998,19
163,3557,103.99770950999999,30.482363749999998,188
164,3558,104.01101832999998,30.482363749999998,3
165,3559,104.02432715,30.482363749999998,24
166,3560,104.03763597,30.482363749999998,37
167,3561,104.05094478999999,30.482363749999998,27
168,3562,104.06425361,30.482363749999998,131
169,3563,104.07756243,30.482363749999998,178
170,3564,104.09087124999999,30.482363749999998,226
171,3565,104.10418007,30.482363749999998,140
172,3566,104.11748889,30.482363749999998,5
173,3567,104.13079771,30.482363749999998,20
174,3568,104.14410652999999,30.482363749999998,4
175,3572,104.19734181,30.482363749999998,1
176,3643,103.81138603,30.49152625,1
177,3648,103.87793013,30.49152625,17
178,3649,103.89123895,30.49152625,6
179,3650,103.90454777,30.49152625,4
180,3651,103.91785658999999,30.49152625,1
181,3653,103.94447423,30.49152625,95
182,3654,103.95778304999999,30.49152625,109
183,3655,103.97109187,30.49152625,4
184,3656,103.98440069,30.49152625,26
185,3657,103.99770950999999,30.49152625,160
186,3658,104.01101832999998,30.49152625,1
187,3659,104.02432715,30.49152625,85
188,3660,104.03763597,30.49152625,95
189,3661,104.05094478999999,30.49152625,176
190,3662,104.06425361,30.49152625,328
191,3663,104.07756243,30.49152625,863
192,3664,104.09087124999999,30.49152625,39
193,3665,104.10418007,30.49152625,72
194,3666,104.11748889,30.49152625,30
195,3667,104.13079771,30.49152625,60
196,3668,104.14410652999999,30.49152625,1
197,3671,104.18403298999999,30.49152625,4
198,3672,104.19734181,30.49152625,1
199,3674,104.22395945,30.49152625,1
200,3729,103.62506255,30.500688750000002,1
201,3748,103.87793013,30.500688750000002,3
202,3750,103.90454777,30.500688750000002,20
203,3751,103.91785658999999,30.500688750000002,9
204,3753,103.94447423,30.500688750000002,69
205,3754,103.95778304999999,30.500688750000002,125
206,3755,103.97109187,30.500688750000002,15
207,3756,103.98440069,30.500688750000002,11
208,3757,103.99770950999999,30.500688750000002,37
209,3758,104.01101832999998,30.500688750000002,1
210,3759,104.02432715,30.500688750000002,47
211,3760,104.03763597,30.500688750000002,402
212,3761,104.05094478999999,30.500688750000002,264
213,3762,104.06425361,30.500688750000002,816
214,3763,104.07756243,30.500688750000002,348
215,3764,104.09087124999999,30.500688750000002,1
216,3772,104.19734181,30.500688750000002,8
217,3773,104.21065063,30.500688750000002,10
218,3786,104.38366529,30.500688750000002,1
219,3787,104.39697411,30.500688750000002,1
220,3827,103.59844491,30.509851249999997,4
221,3828,103.61175373,30.509851249999997,3
222,3829,103.62506255,30.509851249999997,5
223,3848,103.87793013,30.509851249999997,8
224,3849,103.89123895,30.509851249999997,7
225,3850,103.90454777,30.509851249999997,5
226,3852,103.93116541,30.509851249999997,4
227,3853,103.94447423,30.509851249999997,1
228,3854,103.95778304999999,30.509851249999997,21
229,3855,103.97109187,30.509851249999997,28
230,3856,103.98440069,30.509851249999997,59
231,3857,103.99770950999999,30.509851249999997,18
232,3858,104.01101832999998,30.509851249999997,11
233,3859,104.02432715,30.509851249999997,24
234,3860,104.03763597,30.509851249999997,333
235,3861,104.05094478999999,30.509851249999997,969
236,3862,104.06425361,30.509851249999997,778
237,3863,104.07756243,30.509851249999997,508
238,3864,104.09087124999999,30.509851249999997,4
239,3865,104.10418007,30.509851249999997,1
240,3866,104.11748889,30.509851249999997,2
241,3868,104.14410652999999,30.509851249999997,1
242,3869,104.15741535,30.509851249999997,1
243,3871,104.18403298999999,30.509851249999997,1
244,3872,104.19734181,30.509851249999997,4
245,3873,104.21065063,30.509851249999997,4
246,3874,104.22395945,30.509851249999997,1
247,3875,104.23726826999999,30.509851249999997,1
248,3885,104.37035646999999,30.509851249999997,1
249,3927,103.59844491,30.51901375,2
250,3929,103.62506255,30.51901375,2
251,3940,103.77145956999999,30.51901375,1
252,3948,103.87793013,30.51901375,8
253,3950,103.90454777,30.51901375,11
254,3951,103.91785658999999,30.51901375,7
255,3954,103.95778304999999,30.51901375,8
256,3955,103.97109187,30.51901375,68
257,3956,103.98440069,30.51901375,28
258,3957,103.99770950999999,30.51901375,331
259,3958,104.01101832999998,30.51901375,49
260,3959,104.02432715,30.51901375,46
261,3960,104.03763597,30.51901375,310
262,3961,104.05094478999999,30.51901375,799
263,3962,104.06425361,30.51901375,684
264,3963,104.07756243,30.51901375,342
265,3964,104.09087124999999,30.51901375,46
266,3965,104.10418007,30.51901375,4
267,3966,104.11748889,30.51901375,23
268,3967,104.13079771,30.51901375,2
269,3968,104.14410652999999,30.51901375,6
270,3969,104.15741535,30.51901375,2
271,3970,104.17072417,30.51901375,12
272,3971,104.18403298999999,30.51901375,1
273,3972,104.19734181,30.51901375,8
274,3973,104.21065063,30.51901375,8
275,3974,104.22395945,30.51901375,19
276,3975,104.23726826999999,30.51901375,1
277,4030,103.63837136999999,30.52817625,1
278,4036,103.71822429,30.52817625,1
279,4037,103.73153310999999,30.52817625,4
280,4038,103.74484192999999,30.52817625,6
281,4047,103.86462130999999,30.52817625,1
282,4048,103.87793013,30.52817625,22
283,4049,103.89123895,30.52817625,12
284,4050,103.90454777,30.52817625,20
285,4051,103.91785658999999,30.52817625,14
286,4052,103.93116541,30.52817625,5
